eval_id,review,expected_sentiment,rating,expected_label,source_dataset
1,Fix please I did give 5 stats once but now using on note 7 and get an api error for the weather part,negative,2,0,tanmaydeshpande/app-review-extraction-splits (derived from sealuzh/app_reviews)
2,Not that great It is a great txt backup but quite backing things up since first of may. Reinstall it and says its backing to my gmail but nothing on my gmail..,negative,2,0,tanmaydeshpande/app-review-extraction-splits (derived from sealuzh/app_reviews)
3,New game option? How do you start a new game? Where is this option hidden?,negative,2,0,tanmaydeshpande/app-review-extraction-splits (derived from sealuzh/app_reviews)
4,Deleting I can't delete playlists or songs. Please fix that. It'll be very helpful.,negative,2,0,tanmaydeshpande/app-review-extraction-splits (derived from sealuzh/app_reviews)
5,Total crap You made me spend at least an hour to figure out on my own how to get it to work again and I missed being able to print out resumes at Kinkos for a job fair.,negative,2,0,tanmaydeshpande/app-review-extraction-splits (derived from sealuzh/app_reviews)
6,Used to be great This app was my go-to widget however lately it does not update. It's still stuck on December the 8th. Doesnt refresh when events added to my calendar. Only way I can get it to update/fix is to remove widget and replace.. but then issue reoccurs. Kind of tedious.,negative,1,0,tanmaydeshpande/app-review-extraction-splits (derived from sealuzh/app_reviews)
7,Useless just hated hated it consumes lots of Internal Storage and this increases as per use We havn't other choice because if We don't update then Connected Apps. Won't run.. !?,negative,1,0,tanmaydeshpande/app-review-extraction-splits (derived from sealuzh/app_reviews)
8,Not working properly but I think the best way to get the latest version,neutral,3,1,tanmaydeshpande/app-review-extraction-splits (derived from sealuzh/app_reviews)
9,Won't let you select a whole folder you have to manually add each photo. So if you have a folder with a hundred folders you have to add them all manually. So this prohibits me from just adding files to a folder and the app be smart enough to add into rotation. Seems very limited.,neutral,3,1,tanmaydeshpande/app-review-extraction-splits (derived from sealuzh/app_reviews)
10,An average app...message notifications are not regularly received,neutral,3,1,tanmaydeshpande/app-review-extraction-splits (derived from sealuzh/app_reviews)
11,Even works with Hangouts as SMS but not with Google Project Fi handling SMS. Must use cellular network to handle SMS.,neutral,3,1,tanmaydeshpande/app-review-extraction-splits (derived from sealuzh/app_reviews)
12,Frame drop Great emulator could use a speed function though,neutral,3,1,tanmaydeshpande/app-review-extraction-splits (derived from sealuzh/app_reviews)
13,I would give this 5 stars but my search bar keeps disappearing. This Will be the second time I have to download it just to get back the widget. Hopefully something can be done. Other wise I love it but I'll have to go to another one if it happens again. Thanks!!,neutral,3,1,tanmaydeshpande/app-review-extraction-splits (derived from sealuzh/app_reviews)
14,Good Good most of the time but can be a bit hit and miss.,positive,4,2,tanmaydeshpande/app-review-extraction-splits (derived from sealuzh/app_reviews)
15,Better than 9apps I love but problem is the very big amount drains battery,positive,4,2,tanmaydeshpande/app-review-extraction-splits (derived from sealuzh/app_reviews)
16,Exactly what I was looking for! Remotely displays my libraries and controls my media player flawlessly. Connects instantly.,positive,5,2,tanmaydeshpande/app-review-extraction-splits (derived from sealuzh/app_reviews)
17,Some minor bugs since last update mainly when switching from portrait to landscape .Overall one of the top of browsers I've ever used on mobile the Ad block feature is the only one I've seen work in a browser will give an additional star for five if the issue with switching rotation is corrected.,positive,4,2,tanmaydeshpande/app-review-extraction-splits (derived from sealuzh/app_reviews)
18,Great app but does anyone know how to move games from the internal storage to the sd card to save room? Each time I try and manually move the Psp folder the app doesn't find it and then creates a new empty Psp folder on the internal memory. It's a bit annoying as I'm running out of space. I'm using a Samsung S7 fyi,positive,4,2,tanmaydeshpande/app-review-extraction-splits (derived from sealuzh/app_reviews)
19,Needs more users Just wish all my friends use it,positive,5,2,tanmaydeshpande/app-review-extraction-splits (derived from sealuzh/app_reviews)
20,It does what it says and it does it well. I just wish it had more of the current flagship devices like the LG G3 Sony Xperia Z3 and the Nexus 6.,positive,4,2,tanmaydeshpande/app-review-extraction-splits (derived from sealuzh/app_reviews)
