review_id,review,sentiment,label,category
1,"The Bluetooth speaker is worth the money, and the customer support was helpful.",positive,2,Bluetooth speaker
2,The wireless headphones performs really well. One thing I noticed is that the design is comfortable.,positive,2,wireless headphones
3,The smartphone has been very disappointing. One thing I noticed is that the setup was confusing.,negative,0,smartphone
4,"My experience with the wireless headphones is that it has both good and average features. In particular, the support response was acceptable.",neutral,1,wireless headphones
5,"For a wireless headphones, it has caused me several problems. However, the advertised features do not work.",negative,0,wireless headphones
6,"After using this Bluetooth speaker for a while, I found that it feels well made. Also, the battery lasts all day.",positive,2,Bluetooth speaker
7,The Bluetooth speaker feels poorly made. One thing I noticed is that the design is uncomfortable.,negative,0,Bluetooth speaker
8,"The smartphone is worth the money, and the sound is clear.",positive,2,smartphone
9,The wireless headphones does what it is supposed to do. One thing I noticed is that the setup took some time.,neutral,1,wireless headphones
10,I bought the wireless headphones recently. It is surprisingly durable; the design is comfortable.,positive,2,wireless headphones
11,"After using this wireless headphones for a while, I found that it feels well made. Also, the battery lasts all day.",positive,2,wireless headphones
12,"After using this wireless headphones for a while, I found that it is not worth the money. Also, the sound is distorted.",negative,0,wireless headphones
13,I bought the wireless headphones recently. It is not worth the money; customer support was unhelpful.,negative,0,wireless headphones
14,I bought the wireless headphones recently. It is easy to use; the features are useful.,positive,2,wireless headphones
15,"The laptop is not worth the money, and the battery drains very quickly.",negative,0,laptop
16,"After using this smartphone for a while, I found that it has poor overall quality. Also, the battery drains very quickly.",negative,0,smartphone
17,"My experience with the smartphone is that it is acceptable for the price. In particular, the design is fairly basic.",neutral,1,smartphone
18,The Bluetooth speaker is neither particularly good nor bad. One thing I noticed is that the delivery arrived on time.,neutral,1,Bluetooth speaker
19,"After using this wireless headphones for a while, I found that it has been reliable so far. Also, the customer support was helpful.",positive,2,wireless headphones
20,The wireless headphones is acceptable for the price. One thing I noticed is that the design is fairly basic.,neutral,1,wireless headphones
21,"After using this Bluetooth speaker for a while, I found that it was a frustrating purchase. Also, the battery drains very quickly.",negative,0,Bluetooth speaker
22,The laptop works reasonably well. One thing I noticed is that the support response was acceptable.,neutral,1,laptop
23,"The laptop is okay overall, and the controls take some getting used to.",neutral,1,laptop
24,"After using this Bluetooth speaker for a while, I found that it is not worth the money. Also, the sound is distorted.",negative,0,Bluetooth speaker
25,I bought the smartphone recently. It has been very disappointing; customer support was unhelpful.,negative,0,smartphone
26,I bought the laptop recently. It has poor overall quality; the packaging arrived damaged.,negative,0,laptop
27,I bought the laptop recently. It is okay overall; the packaging was ordinary.,neutral,1,laptop
